link,name,hall_of_fame,active_player,years_played,career_batting_average,career_hits,career_HRs,career_WAR,career_RBIs,career_runs,career_OBP,career_SLG,career_OPS,world_series_wins,golden_glove_awards,mvps,career_hitting_titles,silver_slugger_awards,all_star_apps
http://www.baseball-reference.com/players/a/allisdo01.shtml,Doug Allison,False,False,10,.271,382,2,6.7,139,236,.284,.321,.605,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allismi01.shtml,Milo Allison,False,False,4,.217,13,0,-0.1,0,15,.373,.217,.590,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allismo01.shtml,Moody Allison,False,False,1,.333,3,1,0.1,2,1,.333,.889,1.222,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/allrebe01.shtml,Beau Allred,False,False,3,.230,38,4,0.8,15,19,.345,.345,.691,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/almadme01.shtml,Mel Almada,False,False,7,.284,706,15,1.0,197,363,.342,.367,.710,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/almeira01.shtml,Rafael Almeida,False,False,3,.270,77,3,1.0,46,32,.335,.389,.725,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/almonbi01.shtml,Bill Almon,False,False,15,.254,846,36,4.6,296,390,.305,.343,.648,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/almonab01.shtml,Abraham Almonte,False,True,9,.234,278,23,1.3,116,161,.302,.374,.676,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/almoner01.shtml,Erick Almonte,False,False,3,.233,31,2,-1.0,14,18,.282,.331,.613,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/almonzo01.shtml,Zoilo Almonte,False,False,2,.211,30,2,-0.8,12,11,.242,.282,.523,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/almoral01.shtml,Albert Almora,False,True,6,.265,338,28,2.7,134,163,.303,.389,.692,1,0,0,0,0,0
http://www.baseball-reference.com/players/a/alomaro01.shtml,Roberto Alomar,True,False,17,.300,2724,210,67.0,1134,1508,.371,.443,.814,2,10,1,0,4,12
http://www.baseball-reference.com/players/a/alomasa01.shtml,Sandy Alomar,False,False,15,.245,1168,13,10.5,282,558,.290,.288,.578,0,0,0,0,0,1
http://www.baseball-reference.com/players/a/alomasa02.shtml,Sandy Alomar,False,False,20,.273,1236,112,13.7,588,520,.309,.406,.716,0,1,0,0,0,6
http://www.baseball-reference.com/players/a/alonspe01.shtml,Pete Alonso,False,True,3,.256,350,106,9.8,249,215,.347,.542,.890,0,0,0,0,0,1
http://www.baseball-reference.com/players/a/alonsro01.shtml,Rogelio Alonso,False,False,4,.242,157,1,-2.0,55,74,.298,.310,.608,0,0,0,0,0,0
http://www.baseball-reference.com/players/a/alonsyo01.shtml,Yonder Alonso,False,False,10,.259,872,100,8.1,426,391,.332,.404,.736,0,0,0,0,0,1
http://www.baseball-reference.com/players/a/aloufe01.shtml,Felipe Alou,False,False,17,.286,2101,206,42.2,852,985,.328,.433,.761,0,0,0,0,0,3
http://www.baseball-reference.com/players/a/alouje01.shtml,Jesús Alou,False,False,15,.280,1216,32,0.8,377,448,.305,.353,.658,2,0,0,0,0,0
http://www.baseball-reference.com/players/a/alouma01.shtml,Matty Alou,False,False,15,.307,1777,31,23.1,427,780,.345,.381,.726,1,0,0,1,0,2
